"序号","应用ID","应用名称","开发者","当前状态","价格","分类","上架时间"
"1","6451037640","Toilet Monster - Draw To Save","Izhar Ahmad","在线","0.00","益智解谜","2023-07-08 00:00:00"
"2","6450207849","风云扫描王-文件转PDF、证件扫描、文档管理和OCR文字识别","Shanghai Jianji Network Technology Co., Ltd","在线","0.00","效率","2023-07-08 00:00:00"
"3","6450637851","AI智能写手-写作报告PPT编辑助手","Chongqing Micro Moby Technology Co., Ltd.","在线","0.00","效率","2023-07-08 00:00:00"
"4","6449422778","GoFun商户","Go Fun","在线","0.00","工具","2023-07-08 00:00:00"
"5","6443516223","三国志名将志 - 策略三国挂机手游","海霞 陈","在线","0.00","娱乐","2023-07-08 01:32:13"
"6","6450895932","DIY Monster Playtime: Makeover","Muhammad Imran","下架","0.00","休闲","2023-07-08 00:00:00"
"7","6450953535","Fill the Makeup Organizer Game","Haroon Mehmood","在线","0.00","角色扮演","2023-07-08 00:00:00"
"8","1593179741","Magic School: Wizarding Exam","Egor Vdovin","在线","0.00","益智解谜","2023-07-08 21:10:57"
"9","6450715746","Toilet Monster Scary House","Caroline Lagarde","下架","0.00","动作","2023-07-08 00:23:23"
"10","1335052501","Ai Scope","凌 张","在线","0.00","摄影与录像","2023-07-08 15:34:20"
"11","1407706280","finder borescope","凌 张","在线","0.00","摄影与录像","2023-07-08 15:37:01"
"12","1484428568","AllScope","凌 张","在线","0.00","健康健美","2023-07-08 15:48:40"
"13","1636236310","AllScope2","凌 张","在线","0.00","健康健美","2023-07-08 16:26:23"
"14","6450252933","NFC-通用NFC门禁卡,NFC读卡器&NFC读取tools","Dao Nguyen Thi","下架","0.00","工具","2023-07-08 03:21:29"
"15","6451042818","Gambling Quit Home-We Together","旭东 年","在线","0.00","参考","2023-07-08 00:00:00"
"16","1619046920","Offerheap: IT Recruitment","ITincubator UAB","在线","0.00","商务","2023-07-08 00:00:00"
"17","6450584021","sky animation - animate photo","Sounak Sarkar","在线","0.00","软件开发工具","2023-07-08 00:00:00"
"18","1592272025","万能TopWidgets小组件-芒图2023你的壁纸社区","Fatih Sencan","下架","0.00","生活","2023-07-08 10:23:35"
"19","6447333653","决胜数独","Jose Cruz","在线","0.00","益智解谜","2023-07-08 14:47:41"
"20","6450708081","Aurora Forecast Rocketeer","University Centre in Svalbard (UNIS)","下架","0.00","教育","2023-07-08 00:00:00"
"21","6450724926","ChatNow-智寻AI对话&人工智能对话","全 王","下架","0.00","工具","2023-07-08 23:19:55"
"22","455235486","MeiHua","MEIHUA INFORMATION","在线","0.00","商务","2023-07-08 11:20:13"
"23","1481557149","制道云","MEIHUA INFORMATION","在线","0.00","效率","2023-07-08 10:39:15"
"24","1492890979","哈福云","MEIHUA INFORMATION","在线","0.00","效率","2023-07-08 10:41:16"
"25","1535414504","根云积木","MEIHUA INFORMATION","在线","0.00","效率","2023-07-08 10:50:55"
"26","1548615000","梅花数据","MEIHUA INFORMATION","在线","0.00","效率","2023-07-08 11:02:25"
"27","6450887669","Truco Card Game","Droid-Veda LLP","在线","0.00","休闲","2023-07-08 00:00:00"
"28","1627935482","Easier And Simple Weather","Tomas Sanni","下架","0.00","天气","2023-07-08 05:33:57"
"29","6443765603","GooWeather","Tomas Sanni","在线","0.00","天气","2023-07-08 04:38:53"
"30","6450645505","PDF Editor - PDF Converter Pro","梓 王","下架","0.00","效率","2023-07-08 03:05:04"
"31","6451040555","戰鬥吧！大魔王","Shaanxi Xinsheng Bohai Technology & Trade Co.,Ltd.","下架","0.00","游戏","2023-07-08 00:00:00"
"32","1621225567","1 Password Manager Vault: Liso","Oliver Martinez","在线","0.00","效率","2023-07-08 04:35:46"
"33","6450889098","MJ AI-全能绘画大模型创意海报生产力工具","ZFERRY GROUP LTD.","下架","0.00","图形和设计","2023-07-08 00:00:00"
"34","6451035860","鹊桥-来这里 遇见TA","Guangzhou Shengzhuan Electronic Commerce Co., LTD","在线","0.00","社交","2023-07-08 00:00:00"
"35","1623408095","数据结构与算法","Hangzhou Xiaoke Technology Co., Ltd.","在线","0.00","教育","2023-07-08 18:08:54"
"36","1103110494","Sensa Slovenia","Magzter Inc.","在线","0.00","报刊杂志","2023-07-08 08:59:57"
"37","1103115182","Story Slovenia","Magzter Inc.","在线","0.00","报刊杂志","2023-07-08 09:00:00"
"38","1103117478","Liza Slovenia","Magzter Inc.","在线","0.00","报刊杂志","2023-07-08 08:45:11"
"39","6451001356","小布丁主題桌布","lokwing So","下架","0.00","生活","2023-07-08 00:00:00"
"40","6450414147","水印相机-时间地点和工作水印&水印打卡记录","洪涛 于","在线","0.00","工具","2023-07-08 11:27:29"
