App ID,App Name,App Size,App Languages,App Category,App Age Rating,Recommended IDs,Parent ID
1362944225,"IPLEX Image Share
 4+",3 MB,"English, Czech, French, German, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1638237221, 6453639083, 1407706280, 1209745044, 990501167, 1540023976, 1275018170]","[1362944225, 1335052501, 1636236310, 1540023976, 6476429895, 1209745044, 1530681225, 1335052501, 1407706280, 1335052501]"
1407706280,"finder borescope
 4+",41.5 MB,"English, French, German, Italian, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1387388358, 1484428568, 1636236310, 1335052501, 1362944225, 6453639083, 1209745044, 1540023976, 1228996585, 1563218359]","[1362944225, 1362944225, 1362944225, 1407706280, 1228996585, 1636236310, 6453639083, 6453639083, 6453639083, 1209745044, 1560984586, 1407706280, 1335052501, 1407706280, 1484428568]"
990501167,"CamFi
 4+",35.8 MB,"English, French, German, Japanese, Simplified Chinese, Traditional Chinese, Turkish",Photo & Video,4+,"[1061014537, 1362944225, 957334044, 1473608851, 909332315, 1409182062, 1407706280]","[1362944225, 1362944225, 1407706280, 1209745044]"
6476429895,"USB Camera to NDI
 4+",29 MB,English,Photo & Video,4+,"[1581209934, 1597816542, 1581209932, 1644447464, 1581278019, 6471483473, 1597412294, 6453639083, 6473455859, 6499216448, 6456888175, 1571995248, 6453359966]","[1362944225, 1636236310, 6453639083, 1563218359, 1335052501, 1335052501]"
1636236310,"AllScope2
 4+",22.2 MB,"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Health & Fitness,4+,"[1387388358, 1407706280, 1484428568, 1335052501, 1593007755, 6473672621, 1633406895, 1501630907, 6446705377, 1368396053]","[1362944225, 1335052501, 1484428568, 1560984586, 1530681225, 1335052501, 1407706280, 1484428568, 1335052501]"
6453639083,"CamX - USB Camera
 4+",14.1 MB,"Arabic, Danish, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Photo & Video,4+,"[1577082996, 1577082754, 1563218359, 6476429895, 1362944225, 1407706280, 6443441166, 6450313385]","[1362944225, 1362944225, 1335052501, 1407706280, 1407706280, 1484428568, 6476429895, 1209745044, 1487751011, 1407706280, 1335052501, 1407706280, 1335052501]"
1540023976,"Smart Endoscope
 17+",129.7 MB,English,Photo & Video,17+,"[1694634756, 6462408151, 6466558694, 1342541562, 1297887877, 1466598215, 6453639083, 1232126462, 1362944225]","[1362944225, 1362944225, 1407706280, 1407706280, 1407706280]"
1484428568,"AllScope
 4+",14 MB,"English, French, German, Japanese, Korean, Russian, Simplified Chinese, Spanish, Traditional Chinese",Health & Fitness,4+,"[1387388358, 1407706280, 1636236310, 1335052501, 1488583394, 650291528, 972314631, 485247638, 1441094593, 1358813934]","[1362944225, 1335052501, 1636236310, 1636236310, 1530681225, 1335052501, 1335052501, 650291528, 6451358082, 1335052501]"
1275018170,"WiFi Look
 4+",79.2 MB,"English, Arabic, French, German, Japanese, Korean, Russian, Simplified Chinese, Spanish, Traditional Chinese",Photo & Video,4+,"[1214909933, 1297887877, 1508989833, 1315466152, 1319660165, 1404195213, 1214909934, 1093741394, 1362944225, 1540023976, 1407706280, 566067357, 464234175]","[1362944225, 1335052501]"
1209745044,"Mo-View
 4+",4.8 MB,"English, Simplified Chinese",Photo & Video,4+,"[1335052500, 1342541562, 1377044388, 1527380496, 1617242821, 1669447308, 1184106991, 1228996585, 1362944225, 1407706280, 6453639083, 1516239264, 990501167]","[1335052501, 1335052501, 1407706280, 1407706280, 1407706280, 1407706280]"
